Year,Status,No.,Disability Type,Total
2022,Private,27,Blind,61
2022,Private,27,Deaf,325
2022,Private,27,Mentally Retarded,798
2021,Private,27,Blind,71
2021,Private,27,Others,702
2021,Private,27,Deaf,355
2021,Private,27,Mentally Retarded,767
2021,Private,27,Physically Handicapped,188
2023,Public,27,Others,246
2023,Public,27,Deaf,104
2023,Public,27,Mentally Retarded,289
2023,Public,27,Blind,20
2023,Public,27,Physically Handicapped,55
2022,Public,27,Mentally Retarded,270
2022,Public,27,Physically Handicapped,52
2022,Public,27,Blind,22
2022,Public,27,Deaf,94
2022,Public,27,Others,238
2021,Public,27,Physically Handicapped,48
2021,Public,27,Others,219
2021,Public,27,Deaf,79
2021,Public,27,Mentally Retarded,260
2021,Public,27,Blind,19
2023,Private,28,Blind,4
2023,Private,28,Deaf,34
2023,Private,28,Others,35
2023,Private,28,Physically Handicapped,8
2023,Private,28,Mentally Retarded,162
2022,Private,28,Physically Handicapped,7
2022,Private,28,Blind,6
2022,Private,28,Deaf,40
2022,Private,28,Mentally Retarded,152
2022,Private,28,Others,26
2021,Private,28,Others,28
2021,Private,28,Deaf,49
2021,Private,28,Mentally Retarded,188
2021,Private,28,Physically Handicapped,11
2021,Private,28,Blind,7
2023,Public,28,Others,152
2023,Public,28,Deaf,67
2023,Public,28,Mentally Retarded,330
2023,Public,28,Blind,16
2023,Public,28,Physically Handicapped,43
2022,Public,28,Deaf,74
2022,Public,28,Physically Handicapped,49
2022,Public,28,Others,118
2022,Public,28,Mentally Retarded,367
2022,Public,28,Blind,14
2021,Public,28,Mentally Retarded,375
2021,Public,28,Others,122
2021,Public,28,Blind,17
2021,Public,28,Physically Handicapped,49
2021,Public,28,Deaf,90
2023,Private,29,Physically Handicapped,14
2023,Private,29,Others,19
2023,Private,29,Mentally Retarded,93
2023,Private,29,Blind,3
2023,Private,29,Deaf,20
2022,Private,29,Blind,4
2022,Private,29,Mentally Retarded,61
2022,Private,29,Deaf,17
2022,Private,29,Physically Handicapped,10
2022,Private,29,Others,17
2021,Private,29,Deaf,24
2021,Private,29,Physically Handicapped,11
2021,Private,29,Mentally Retarded,61
2021,Private,29,Others,14
2021,Private,29,Blind,2
2023,Public,29,Deaf,102
2023,Public,29,Blind,18
2023,Public,29,Mentally Retarded,441
2023,Public,29,Others,133
2023,Public,29,Physically Handicapped,56
2022,Public,29,Deaf,94
2022,Public,29,Blind,20
2022,Public,29,Others,168
