School,Year,Province,Public School,Private School,Cililian Teacher,Private Teacher,Public Students,Private Students
SMK,2022/2023,Kalimantan Selatan,63,63,3046,1096,42514,12805
SMK,2022/2023,Kalimantan Timur,87,129,3405,1848,52654,28082
SMK,2022/2023,Kalimantan Utara,21,11,741,128,9409,1040
SMK,2022/2023,Sulawesi Utara,92,98,3025,1191,34793,13265
SMK,2022/2023,Sulawesi Tengah,107,75,3000,950,33097,10204
SMK,2022/2023,Sulawesi Selatan,168,248,7309,3151,90493,34374
SMK,2022/2023,Sulawesi Tenggara,102,64,3050,723,30018,5983
SMK,2022/2023,Gorontalo,40,18,1530,277,15543,2490
SMK,2022/2023,Sulawesi Barat,60,71,1896,689,19023,7000
SMK,2022/2023,Maluku,82,33,2153,585,16110,5461
SMK,2022/2023,Maluku Utara,63,87,1183,823,9804,8967
SMK,2022/2023,Papua BaratBarat,33,24,911,421,11434,4682
SMK,2022/2023,Papua,80,61,2053,1016,22538,12771
SMK,2022/2023,Indonesia,3692,10573,166472,170799,2381888,2672426
SMK,2023/2024,Aceh,153,69,6450,807,46341,7759
SMK,2023/2024,Sumatera Utara,274,685,10835,10156,138169,166396
SMK,2023/2024,Sumatera Barat,115,97,6017,1446,75274,13008
SMK,2023/2024,Riau,138,168,5360,3106,68528,36797
SMK,2023/2024,Jambi,107,74,3553,923,38401,10828
SMK,2023/2024,Sumatera Selatan,121,193,5853,2981,78601,47324
SMK,2023/2024,Bengkulu,65,38,2613,447,25124,3418
SMK,2023/2024,Lampung,111,386,4848,5708,68999,81737
SMK,2023/2024,Kepulauan Bangka Belitung,36,23,1353,379,19397,5239
SMK,2023/2024,Kepulauan Riau,36,68,1788,808,28493,9491
SMK,2023/2024,DKI Jakarta,73,488,3494,8255,57652,138996
SMK,2023/2024,Jawa Barat,288,2625,17738,40888,343384,725091
SMK,2023/2024,Jawa Tengah,239,1302,17033,29059,300562,503857
SMK,2023/2024,DI Yogyakarta,50,156,3161,3281,51489,37353
SMK,2023/2024,Jawa Timur,297,1850,20154,29605,346931,427637
SMK,2023/2024,Banten,91,633,4435,9575,91430,159985
SMK,2023/2024,Bali,57,113,3555,2172,54131,34998
SMK,2023/2024,Nusa Tenggara Barat,99,230,5304,2528,54577,23135
SMK,2023/2024,Nusa Tenggara Timur,174,169,6185,3244,60670,43204
SMK,2023/2024,Kalimantan Barat,117,116,3473,1273,56973,18768
SMK,2023/2024,Kalimantan Tengah,94,45,2538,624,27041,6125
SMK,2023/2024,Kalimantan Selatan,64,64,3026,1102,42920,12518
SMK,2023/2024,Kalimantan Timur,88,129,3481,1850,54574,28536
SMK,2023/2024,Kalimantan Utara,22,12,779,153,9519,938
SMK,2023/2024,Sulawesi Utara,92,100,3075,1099,33142,12624
SMK,2023/2024,Sulawesi Tengah,107,75,2964,881,32054,9889
SMK,2023/2024,Sulawesi Selatan,168,238,7659,2685,87122,33178
SMK,2023/2024,Sulawesi Tenggara,102,66,3382,689,29223,5513
SMK,2023/2024,Gorontalo,40,19,1491,272,14455,2352
SMK,2023/2024,Sulawesi Barat,60,70,1949,683,18604,6469
SMK,2023/2024,Maluku,84,36,2208,574,15750,6062
SMK,2023/2024,Maluku Utara,63,87,1347,723,9677,9474
SMK,2023/2024,Papua BaratBarat,16,5,520,121,5287,1449
SMK,2023/2024,Papua BaratBarat Daya,16,22,530,302,5570,3415
SMK,2023/2024,Papua,35,14,968,304,9433,3930
SMK,2023/2024,Papua BaratSelatan,21,4,584,62,6300,707
SMK,2023/2024,Papua BaratTengah,16,35,486,512,5253,5928
SMK,2023/2024,Papua BaratPegunungan,10,9,121,128,1726,2699
SMK,2023/2024,Indonesia,3739,10513,170310,169405,2412776,2646827
SMP,2021/2022,Aceh,897,316,20137,3431,160011,44534
SMP,2021/2022,Sumatera Utara,1331,1315,31669,13699,433519,221370
SMP,2021/2022,Sumatera Barat,674,171,15956,2204,184026,23579
SMP,2021/2022,Riau,855,375,16013,4390,206252,54858
SMP,2021/2022,Jambi,557,136,10192,1360,102206,20213
SMP,2021/2022,Sumatera Selatan,901,481,21653,4954,287828,71500
SMP,2021/2022,Bengkulu,381,58,7053,654,79778,7344
SMP,2021/2022,Lampung,710,702,17178,6972,240771,88530
SMP,2021/2022,Kepulauan Bangka Belitung,161,62,3180,632,53168,8768
SMP,2021/2022,Kepulauan Riau,234,165,4310,1782,74328,22383
SMP,2021/2022,DKI Jakarta,293,784,9980,9648,222930,138926
SMP,2021/2022,Jawa Barat,1969,3715,54222,41217,1113692,687467
SMP,2021/2022,Jawa Tengah,1769,1613,51611,20280,919373,281513
SMP,2021/2022,DI Yogyakarta,214,234,5667,3480,92678,41147
SMP,2021/2022,Jawa Timur,1729,3136,49279,32467,829308,410719
SMP,2021/2022,Banten,573,994,12849,10292,268113,169761
SMP,2021/2022,Bali,272,136,9479,2027,160516,30536
SMP,2021/2022,Nusa Tenggara Barat,605,384,16599,3770,136326,36298
SMP,2021/2022,Nusa Tenggara Timur,1354,428,22884,5818,265042,80180
SMP,2021/2022,Kalimantan Barat,1018,333,13779,2772,187216,43635
SMP,2021/2022,Kalimantan Tengah,708,137,8515,1351,89891,17901
SMP,2021/2022,Kalimantan Selatan,522,97,8263,1154,99185,13730
SMP,2021/2022,Kalimantan Timur,447,221,8593,2247,127778,32664
SMP,2021/2022,Kalimantan Utara,153,33,2417,333,29669,3613
SMP,2021/2022,Sulawesi Utara,474,253,6971,2078,80137,27122
SMP,2021/2022,Sulawesi Tengah,731,129,10419,1106,112116,11513
SMP,2021/2022,Sulawesi Selatan,1265,429,25755,4352,295626,54269
SMP,2021/2022,Sulawesi Tenggara,691,83,11906,775,116819,8009
SMP,2021/2022,Gorontalo,312,26,3882,226,43670,2589
SMP,2021/2022,Sulawesi Barat,318,59,4941,458,51302,5200
SMP,2021/2022,Maluku,534,140,7939,1616,74124,17686
SMP,2021/2022,Maluku Utara,363,139,5153,1229,46659,13687
SMP,2021/2022,Papua BaratBarat,229,94,3329,1122,36396,13195
SMP,2021/2022,Papua,507,214,6868,2205,103457,35577
SMP,2021/2022,Indonesia,23751,17592,508641,192101,7323910,2740016
SMP,2022/2023,Aceh,902,359,20215,3789,153499,46589
SMP,2022/2023,Sumatera Utara,1338,1334,31982,13488,415483,212102
SMP,2022/2023,Sumatera Barat,673,180,15953,2316,177644,23766
SMP,2022/2023,Riau,863,391,16154,4478,202483,55589
SMP,2022/2023,Jambi,560,143,10144,1440,97895,20376
SMP,2022/2023,Sumatera Selatan,904,505,21681,4978,284660,69426
SMP,2022/2023,Bengkulu,380,68,7250,778,77696,7914
SMP,2022/2023,Lampung,709,726,17301,6854,239170,90792
SMP,2022/2023,Kepulauan Bangka Belitung,163,62,3200,642,52727,9062
SMP,2022/2023,Kepulauan Riau,235,175,4392,1944,74360,23237
SMP,2022/2023,DKI Jakarta,293,785,10115,9551,219543,130223
SMP,2022/2023,Jawa Barat,1982,3843,54407,41772,1108220,673266
SMP,2022/2023,Jawa Tengah,1771,1640,51837,19034,913433,278633
SMP,2022/2023,DI Yogyakarta,214,237,5732,3355,92111,41026
SMP,2022/2023,Jawa Timur,1731,3210,49134,31833,809355,412770
SMP,2022/2023,Banten,573,1008,13693,10081,268385,166003
SMP,2022/2023,Bali,273,130,9398,1862,160227,27318
SMP,2022/2023,Nusa Tenggara Barat,604,422,17109,4040,132157,37428
SMP,2022/2023,Nusa Tenggara Timur,1366,438,24558,5932,250759,76353
SMP,2022/2023,Kalimantan Barat,1023,340,13999,2719,184443,43632
SMP,2022/2023,Kalimantan Tengah,710,148,8727,1409,87292,18130
SMP,2022/2023,Kalimantan Selatan,523,102,8226,1133,97661,13961
SMP,2022/2023,Kalimantan Timur,451,232,8655,2252,127561,32730
SMP,2022/2023,Kalimantan Utara,156,36,2480,334,29278,3684
SMP,2022/2023,Sulawesi Utara,476,257,7334,2032,76311,25518
SMP,2022/2023,Sulawesi Tengah,731,137,10671,1044,105195,11822
SMP,2022/2023,Sulawesi Selatan,1268,436,25904,4298,281298,53106
SMP,2022/2023,Sulawesi Tenggara,694,85,12732,831,111979,8028
SMP,2022/2023,Gorontalo,312,28,3999,257,40483,2563
SMP,2022/2023,Sulawesi Barat,318,61,5155,465,47729,5179
SMP,2022/2023,Maluku,542,143,8415,1739,72347,16921
SMP,2022/2023,Maluku Utara,369,141,5391,1227,45773,13125
SMP,2022/2023,Papua BaratBarat,238,96,3808,1111,37100,13089
SMP,2022/2023,Papua,519,224,7476,2430,111141,37840
SMP,2022/2023,Indonesia,23864,18122,517227,191448,7185398,2701201
SMP,2023/2024,Aceh,903,391,20210,4047,153398,48788
